AtomicNumber,BlockIndex,EnergyEv,SigmaA0Squared,WeightedRmsError,WeightedMaxError,ElapsedMilliseconds,PhiKnotIndices,XKnot
6,1,49.999999999999993,16.761958833000001,9.3213152713980767E-06,4.192901219575787E-05,2294.078,"0;138;251;360;495;671;866;1052;1214;1363;1515;1672;1822;1954;2068;2170;2266;2356;2436;2505;2562;2610;2652;2689;2723;2753;2780;2803;2823;2839;2842;2881;2894;2904;2918;2936;2954;2971;2990;3016;3049;3086;3123;3162;3218;3302;3423;3582;3767;3948;4096","1;0.992619812;0.986219347;0.979706883;0.971130252;0.958980203;0.944003105;0.927904427;0.912100732;0.89575249;0.876849592;0.854325891;0.829090476;0.802884936;0.776226521;0.748154283;0.716851771;0.681656301;0.643797278;0.604195535;0.564709604;0.524884582;0.483271897;0.43945545;0.391075164;0.339540064;0.28359887;0.226852;0.169814393;0.119435385;0.109627031;-0.0195316747;-0.0598460659;-0.0890880153;-0.127281174;-0.171849549;-0.211853549;-0.246052504;-0.280812889;-0.323522687;-0.371350348;-0.418481529;-0.460366786;-0.500103295;-0.551033437;-0.617372096;-0.698173761;-0.786793828;-0.873433053;-0.946520984;-1"
6,2,53.087295892748919,16.071986398500002,8.6494483834817428E-06,3.8553695616894146E-05,2415.869,"0;108;214;345;504;683;865;1038;1203;1364;1523;1677;1821;1951;2066;2170;2268;2357;2436;2504;2561;2610;2652;2689;2722;2751;2778;2803;2826;2846;2863;2876;2891;2905;2920;2936;2952;2969;2990;3017;3049;3081;3114;3156;3217;3305;3427;3585;3769;3950;4096","1;0.99452585;0.988885701;0.981508315;0.971879065;0.960011303;0.946617663;0.932386041;0.917142749;0.900321782;0.881338537;0.860074818;0.836848199;0.81221205;0.786560833;0.759204209;0.728565156;0.695182204;0.659451365;0.622357786;0.585065365;0.54686749;0.508064985;0.467719972;0.42532599;0.381584227;0.333896071;0.282349855;0.227664039;0.174319088;0.125425965;0.0866709799;0.041618403;0.000301476772;-0.0422278196;-0.0849367902;-0.124625437;-0.163529843;-0.207323983;-0.25765565;-0.310217023;-0.35670504;-0.399641752;-0.44851777;-0.510739684;-0.587349534;-0.676157176;-0.771589637;-0.864627123;-0.94330132;-1"
6,3,56.365219704085561,15.4150869623,7.2792884628994497E-06,3.7518822181344114E-05,2323.264,"0;112;216;347;506;682;861;1034;1203;1368;1527;1679;1821;1950;2066;2171;2268;2357;2436;2504;2561;2610;2652;2689;2722;2751;2778;2802;2824;2844;2863;2880;2899;2900;2932;2949;2968;2991;3019;3049;3080;3113;3156;3218;3309;3433;3588;3762;3929;4053;4096","1;0.994577467;0.989288151;0.982240021;0.973037481;0.961891711;0.949330151;0.935770929;0.920873821;0.904372096;0.886163652;0.866041243;0.844119906;0.820761979;0.796044588;0.769627631;0.740642846;0.708804667;0.674800158;0.639614284;0.60440594;0.568573892;0.53248024;0.49535504;0.456868768;0.417795599;0.375979453;0.333545804;0.289658278;0.245303139;0.199305281;0.155413553;0.104318582;0.101596519;0.0149580613;-0.0292428266;-0.0760277957;-0.128453389;-0.186107397;-0.241150334;-0.291882604;-0.340278089;-0.396417022;-0.466840327;-0.554167867;-0.652660668;-0.754349947;-0.850085557;-0.929474294;-0.982557297;-1"
6,4,59.845541929811816,14.7894435066,7.1418204555435802E-06,3.1270585975518017E-05,2473.450,"0;29;44;114;215;350;509;681;857;1032;1203;1368;1527;1679;1821;1950;2066;2171;2268;2357;2436;2504;2561;2610;2652;2689;2722;2751;2778;2802;2824;2844;2864;2885;2906;2912;2971;2994;3020;3048;3076;3108;3154;3221;3314;3437;3588;3757;3920;4044;4096","1;0.998684108;0.997998357;0.994730234;0.989826322;0.982889295;0.974089086;0.963681996;0.951905131;0.938828349;0.924437046;0.908670664;0.891271353;0.87204349;0.851098359;0.828785539;0.805183709;0.779977739;0.752349794;0.722054183;0.689777911;0.656499922;0.623359323;0.589837372;0.556326509;0.52217555;0.487160593;0.452056348;0.415005267;0.377939165;0.34009102;0.302189887;0.260854244;0.213921398;0.163968042;0.149281844;0.0033549238;-0.0504429303;-0.107251033;-0.163351014;-0.214444861;-0.26740092;-0.335036337;-0.419681281;-0.517823875;-0.624703646;-0.732934594;-0.83453238;-0.91917944;-0.977086186;-1"
6,5,63.540759845796678,14.193321914,8.3199861117720774E-06,3.7989024588958031E-05,2442.009,"0;31;47;117;218;352;510;681;857;1032;1203;1368;1527;1679;1821;1950;2066;2171;2268;2357;2436;2504;2561;2610;2652;2689;2722;2751;2778;2803;2822;2845;2862;2871;2891;2917;2988;2994;3020;3046;3072;3106;3154;3222;3315;3437;3587;3754;3916;4041;4096","1;0.998656869;0.997957945;0.9948349;0.990147352;0.983565509;0.975210309;0.965328157;0.954081118;0.941590309;0.927844107;0.91278249;0.896161616;0.877795458;0.85779494;0.836497366;0.813985288;0.789965034;0.76367414;0.73490274;0.704336882;0.672941983;0.641824424;0.610530674;0.579462469;0.548052609;0.516139567;0.48446238;0.451382846;0.417206138;0.388682783;0.350946695;0.320680887;0.303828329;0.264364153;0.20927152;0.047319822;0.0336724259;-0.0240738895;-0.078848131;-0.130160287;-0.191960007;-0.269842923;-0.364783138;-0.473157674;-0.589954376;-0.708039165;-0.818004906;-0.909961581;-0.973628223;-1"
6,6,67.46414238367818,13.6250651811,9.8840061730898346E-06,5.4121757992575681E-05,2325.472,"0;59;122;224;357;513;682;857;1032;1203;1368;1527;1679;1821;1950;2066;2171;2268;2357;2436;2504;2562;2610;2651;2688;2722;2752;2779;2802;2819;2835;2860;2891;2922;2949;2968;2972;3042;3070;3102;3124;3129;3165;3228;3318;3437;3584;3748;3908;4034;4096","1;0.997545898;0.994854093;0.990323365;0.984071851;0.976179004;0.966843724;0.956160605;0.944231987;0.93110317;0.916717887;0.900845706;0.883310318;0.864222527;0.84390974;0.822455049;0.799592376;0.77461046;0.74733299;0.718443513;0.688885748;0.659172833;0.630563259;0.602521718;0.573731661;0.543773413;0.514047086;0.484230876;0.4562397;0.433862507;0.411393642;0.373386115;0.321131438;0.263294697;0.208968163;0.169099569;0.160585478;0.0109216655;-0.0462387018;-0.107960828;-0.147949055;-0.156756744;-0.217195362;-0.311495095;-0.425893664;-0.55104816;-0.678427875;-0.797261298;-0.897094548;-0.967504859;-1"
6,7,71.629777777457321,13.0830889213,9.9581744391022436E-06,5.1576861855640033E-05,2446.267,"0;61;121;222;356;513;682;857;1032;1203;1368;1527;1679;1821;1950;2066;2171;2268;2357;2436;2504;2562;2610;2651;2688;2722;2753;2779;2798;2813;2836;2863;2890;2913;2934;2958;2982;3006;3015;3064;3083;3117;3166;3234;3324;3439;3581;3741;3901;4030;4096","1;0.997577608;0.995130599;0.990852356;0.984844089;0.977263093;0.968350172;0.958150208;0.946759582;0.934222639;0.920487344;0.905334651;0.888600111;0.870393038;0.851032794;0.830604851;0.808867335;0.785158813;0.759335995;0.732076108;0.704294741;0.676498294;0.649873018;0.623920441;0.597434163;0.570054173;0.54212141;0.516191602;0.49563247;0.478359908;0.449959785;0.413450271;0.373310298;0.336183459;0.299982071;0.256132305;0.210060284;0.162387505;0.144248858;0.0451868698;0.00748196198;-0.0578214414;-0.145685345;-0.254545569;-0.378013432;-0.509908259;-0.645119727;-0.772930205;-0.882922232;-0.96211642;-1"
6,8,76.0526241520746,12.565878123399999,1.0132336293126612E-05,4.3783372855456942E-05,2479.500,"0;116;225;360;514;682;857;1032;1203;1368;1527;1679;1821;1950;2066;2171;2268;2357;2436;2503;2561;2611;2653;2688;2719;2750;2782;2812;2838;2861;2885;2910;2937;2965;2992;3020;3080;3086;3138;3175;3204;3250;3291;3314;3369;3458;3581;3730;3886;4019;4096","1;0.995549917;0.991146624;0.985358953;0.978252649;0.969792783;0.960055292;0.949180365;0.937211514;0.924101055;0.909639776;0.893676221;0.876318753;0.857877851;0.838443756;0.817795634;0.795321047;0.77090776;0.745220006;0.719560802;0.693657279;0.667868376;0.64316535;0.62004298;0.597314358;0.572159529;0.543288112;0.51318574;0.48444885;0.456796855;0.425564289;0.390339136;0.349171996;0.303168088;0.255932838;0.204542309;0.0900351703;0.078515932;-0.0196287408;-0.0862841234;-0.136101529;-0.21044898;-0.271977693;-0.304654568;-0.377919823;-0.483963758;-0.61072427;-0.742028594;-0.860970259;-0.95136106;-1"
6,9,80.748563235624118,12.071985004,8.1853971905345911E-06,3.2701857710426552E-05,2348.333,"0;44;112;220;357;514;682;857;1032;1203;1368;1527;1679;1821;1950;2066;2171;2268;2357;2435;2503;2561;2611;2653;2688;2720;2752;2782;2811;2838;2864;2886;2907;2930;2958;2988;3020;3054;3098;3099;3166;3204;3246;3300;3373;3468;3588;3728;3874;4004;4096","1;0.998414934;0.995905399;0.991750121;0.986157477;0.979248345;0.971174121;0.961879551;0.951499343;0.940077066;0.927565098;0.913770437;0.898548722;0.882011175;0.864456236;0.845983028;0.826386034;0.8051036;0.782047689;0.758202314;0.733814418;0.709634066;0.685673416;0.662832737;0.641553521;0.620028377;0.596240759;0.571613967;0.545406461;0.518657207;0.49056384;0.464879334;0.438645571;0.407933176;0.367728353;0.321324587;0.268389612;0.209003076;0.129150912;0.127315879;0.00495382212;-0.0622082651;-0.133223221;-0.218841597;-0.324407786;-0.446234882;-0.580013096;-0.714903235;-0.837816894;-0.935823798;-1"
6,10,85.734457388078539,11.600027838999999,8.5697165359537166E-06,3.8877970835571318E-05,2408.112,"0;23;27;109;219;356;514;683;857;1032;1203;1368;1527;1679;1821;1950;2067;2172;2268;2356;2435;2503;2561;2611;2653;2689;2721;2752;2783;2812;2839;2863;2884;2906;2931;2958;2987;3017;3047;3078;3107;3111;3243;3301;3377;3473;3590;3724;3865;3994;4096","1;0.99921304;0.999076188;0.996200919;0.992168069;0.986834764;0.980202317;0.972448945;0.963627577;0.953723431;0.942824423;0.930889964;0.917734683;0.903227866;0.887477636;0.870779335;0.853066683;0.834455907;0.81451118;0.793024421;0.770337045;0.747492909;0.724939048;0.702687144;0.681569636;0.661390841;0.641597152;0.620528698;0.597362339;0.573569238;0.549381554;0.526090503;0.504232705;0.479775816;0.449968249;0.41530183;0.3751975;0.330689728;0.283376098;0.231998548;0.182204753;0.175239637;-0.0558022745;-0.151582181;-0.267878145;-0.399841756;-0.541265368;-0.682723224;-0.813748121;-0.921426892;-1"
